project_name,project_url,Aggregate,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
abersheeran/rpc.py,https://github.com/abersheeran/rpc.py,3.6,10,0,0,0,0,10,10,10,0,10,0,-1,0,0,0,-1,0,5
abetlen/llama-cpp-python,https://github.com/abetlen/llama-cpp-python,5.1,10,0,10,0,1,10,10,10,0,10,10,10,0,0,0,0,0,10
adamghill/django-unicorn,https://github.com/adamghill/django-unicorn,2.6,10,0,5,0,0,10,10,0,0,10,0,-1,0,0,0,-1,0,0
adaptivescale/lxdui,https://github.com/adaptivescale/lxdui,3.4,10,0,0,0,7,10,-1,10,0,10,0,-1,0,0,0,-1,-1,0
admesh/admesh,https://github.com/admesh/admesh,3.8,10,6,0,0,4,10,10,0,0,10,0,-1,0,0,0,0,0,10
agprojects/python-cjson,https://github.com/agprojects/python-cjson,2.9,10,0,-1,0,0,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10
agronholm/cbor2,https://github.com/agronholm/cbor2,4.9,10,0,10,0,2,10,10,0,10,10,5,10,0,1,0,-1,0,10
aimhubio/aim,https://github.com/aimhubio/aim,5.1,10,6,1,0,7,10,10,10,0,10,9,-1,0,0,0,-1,0,0
ajenti/ajenti,https://github.com/ajenti/ajenti,5.2,10,3,8,0,1,10,10,10,0,10,9,-1,0,9,0,-1,0,3
allegro/bigflow,https://github.com/allegro/bigflow,4.5,10,8,3,0,7,10,10,10,0,9,0,-1,0,0,0,-1,0,0
anibali/pywebp,https://github.com/anibali/pywebp,3,10,0,6,0,1,3,10,10,0,10,0,-1,0,0,0,0,0,0
anorov/cloudflare-scrape,https://github.com/anorov/cloudflare-scrape,1.6,10,0,0,0,2,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,0
ansible/galaxy-importer,https://github.com/ansible/galaxy-importer,6.2,10,8,10,0,10,10,10,0,0,10,10,10,0,4,0,-1,0,10
anthraxx/diffoscope,https://github.com/anthraxx/diffoscope,1.9,0,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
antonkueltz/fastecdsa,https://github.com/antonkueltz/fastecdsa,2.6,10,0,0,0,1,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
anymail/django-anymail,https://github.com/anymail/django-anymail,4.7,10,3,10,0,0,10,10,0,0,10,10,-1,1,8,0,0,0,10
apple/ccs-pykerberos,https://github.com/apple/ccs-pykerberos,2.7,10,0,0,0,0,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10
arachnys/cabot,https://github.com/arachnys/cabot,2.1,10,0,0,2,4,10,-1,0,0,10,0,-1,0,0,0,-1,-1,0
archesproject/arches,https://github.com/archesproject/arches,5.5,10,5,10,0,10,10,10,10,0,10,10,-1,0,0,0,-1,0,0
aresch/rencode,https://github.com/aresch/rencode,2.9,10,0,0,0,2,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
arjunsharda/passeo,https://github.com/arjunsharda/passeo,4.6,10,6,0,0,0,10,10,0,0,10,0,-1,1,0,0,-1,10,10
arrayfire/arrayfire-rust,https://github.com/arrayfire/arrayfire-rust,4.2,10,8,0,0,4,10,10,0,0,10,0,-1,0,0,0,-1,0,10
aubio/aubio,https://github.com/aubio/aubio,3.6,10,6,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
backblaze/b2-sdk-python,https://github.com/backblaze/b2-sdk-python,5.1,10,0,8,0,2,10,10,10,0,9,10,10,0,0,0,0,0,10
backblaze/b2_command_line_tool,https://github.com/backblaze/b2_command_line_tool,4.9,10,0,8,0,0,10,10,10,0,9,10,10,0,0,0,0,0,9
bandoche/pypinksign,https://github.com/bandoche/pypinksign,3.7,10,3,0,0,0,6,-1,10,0,10,0,-1,-1,0,0,0,-1,10
bbangert/beaker,https://github.com/bbangert/beaker,3.5,10,0,0,0,4,10,10,0,0,9,0,-1,0,0,0,-1,0,10
bbengfort/confire,https://github.com/bbengfort/confire,2.3,10,0,0,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,5
beancount/fava,https://github.com/beancount/fava,5.3,9,3,10,0,0,10,10,10,0,10,10,-1,0,0,0,-1,0,10
